Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-10-21,39.29,39.6268,39.18,39.46,2241542.0,0.0,1.0,39.29,39.6268,39.18,39.46,2241542.0
2016-10-20,39.46,39.89,39.4,39.48,3165689.0,0.0,1.0,39.46,39.89,39.4,39.48,3165689.0
2016-10-19,39.62,39.65,39.0,39.55,3592022.0,0.0,1.0,39.62,39.65,39.0,39.55,3592022.0
2016-10-18,39.77,39.94,39.35,39.42,3399536.0,0.0,1.0,39.77,39.94,39.35,39.42,3399536.0
2016-10-17,39.16,40.095,38.72,39.47,5254780.0,0.0,1.0,39.16,40.095,38.72,39.47,5254780.0
2016-10-14,39.82,40.21,39.29,39.31,4650101.0,0.0,1.0,39.82,40.21,39.29,39.31,4650101.0
2016-10-13,39.45,39.98,38.76,39.83,6619911.0,0.0,1.0,39.45,39.98,38.76,39.83,6619911.0
2016-10-12,38.84,39.98,38.64,39.77,6855224.0,0.0,1.0,38.84,39.98,38.64,39.77,6855224.0
2016-10-11,38.8,39.025,38.3,38.33,3847928.0,0.0,1.0,38.8,39.025,38.3,38.33,3847928.0
2016-10-10,39.18,39.59,38.7,38.91,3552649.0,0.0,1.0,39.18,39.59,38.7,38.91,3552649.0
2016-10-07,38.43,39.25,38.2,38.9,6883528.0,0.0,1.0,38.43,39.25,38.2,38.9,6883528.0
2016-10-06,37.73,38.285,37.62,38.18,3650722.0,0.0,1.0,37.73,38.285,37.62,38.18,3650722.0
2016-10-05,38.12,38.38,37.89,37.89,3616772.0,0.0,1.0,38.12,38.38,37.89,37.89,3616772.0
2016-10-04,38.18,38.72,37.885,37.98,2788829.0,0.0,1.0,38.18,38.72,37.885,37.98,2788829.0
2016-10-03,38.15,38.55,37.87,38.18,3585554.0,0.0,1.0,38.15,38.55,37.87,38.18,3585554.0
2016-09-30,37.66,38.435,37.51,38.18,4842423.0,0.0,1.0,37.66,38.435,37.51,38.18,4842423.0
2016-09-29,37.72,38.07,37.38,37.41,3182147.0,0.0,1.0,37.72,38.07,37.38,37.41,3182147.0
2016-09-28,38.25,38.25,37.45,37.68,4268894.0,0.0,1.0,38.25,38.25,37.45,37.68,4268894.0
2016-09-27,37.65,38.315,37.6,38.25,3474342.0,0.0,1.0,37.65,38.315,37.6,38.25,3474342.0
2016-09-26,37.84,37.98,37.45,37.51,4470340.0,0.0,1.0,37.84,37.98,37.45,37.51,4470340.0
2016-09-23,38.32,38.77,37.88,37.99,3916043.0,0.0,1.0,38.32,38.77,37.88,37.99,3916043.0
2016-09-22,38.46,38.87,38.35,38.47,3759638.0,0.0,1.0,38.46,38.87,38.35,38.47,3759638.0
2016-09-21,38.09,38.28,37.73,38.27,2949849.0,0.0,1.0,38.09,38.28,37.73,38.27,2949849.0
2016-09-20,38.21,38.375,37.77,37.82,3633821.0,0.0,1.0,38.21,38.375,37.77,37.82,3633821.0
2016-09-19,38.1,38.45,38.03,38.14,5646630.0,0.0,1.0,38.1,38.45,38.03,38.14,5646630.0
2016-09-16,37.66,38.08,37.47,38.0,5346783.0,0.0,1.0,37.66,38.08,37.47,38.0,5346783.0
2016-09-15,37.48,37.96,37.22,37.68,4548727.0,0.0,1.0,37.48,37.96,37.22,37.68,4548727.0
2016-09-14,37.5,38.04,37.22,37.66,5907221.0,0.0,1.0,37.5,38.04,37.22,37.66,5907221.0
