Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-10-21,91.33,94.19,90.599,93.03,13749831.0,0.0,1.0,91.33,94.19,90.599,93.03,13749831.0
2016-10-20,91.66,92.32,91.44,92.03,6133552.0,0.0,1.0,91.66,92.32,91.44,92.03,6133552.0
2016-10-19,91.27,92.14,91.0,91.93,6114812.0,0.0,1.0,91.27,92.14,91.0,91.93,6114812.0
2016-10-18,91.4,91.74,90.98,91.17,4865558.0,0.0,1.0,91.4,91.74,90.98,91.17,4865558.0
2016-10-17,91.35,91.47,90.56,90.83,5107273.0,0.0,1.0,91.35,91.47,90.56,90.83,5107273.0
2016-10-14,91.77,91.77,91.29,91.3,4322493.0,0.0,1.0,91.77,91.77,91.29,91.3,4322493.0
2016-10-13,90.95,91.36,90.315,91.12,5715565.0,0.0,1.0,90.95,91.36,90.315,91.12,5715565.0
2016-10-12,91.88,92.08,91.39,91.41,6825804.0,0.0,1.0,91.88,92.08,91.39,91.41,6825804.0
2016-10-11,92.33,92.38,91.57,91.86,6608099.0,0.0,1.0,92.33,92.38,91.57,91.86,6608099.0
2016-10-10,92.7,93.21,92.4,92.49,4213856.0,0.0,1.0,92.7,93.21,92.4,92.49,4213856.0
2016-10-07,93.06,93.29,92.02,92.49,6140387.0,0.0,1.0,93.06,93.29,92.02,92.49,6140387.0
2016-10-06,92.75,93.58,92.39,92.83,7461834.0,0.0,1.0,92.75,93.58,92.39,92.83,7461834.0
2016-10-05,92.94,93.28,92.38,92.45,5350300.0,0.0,1.0,92.94,93.28,92.38,92.45,5350300.0
2016-10-04,92.45,92.99,92.11,92.59,5890340.0,0.0,1.0,92.45,92.99,92.11,92.59,5890340.0
2016-10-03,92.47,92.72,92.05,92.49,5815053.0,0.0,1.0,92.47,92.72,92.05,92.49,5815053.0
2016-09-30,92.28,93.4932,92.21,92.86,8542599.0,0.0,1.0,92.28,93.4932,92.21,92.86,8542599.0
2016-09-29,92.14,93.1,91.53,91.8,7463000.0,0.0,1.0,92.14,93.1,91.53,91.8,7463000.0
2016-09-28,91.75,92.3,91.48,92.2,8260207.0,0.0,1.0,91.75,92.3,91.48,92.2,8260207.0
2016-09-27,91.93,92.18,91.5,91.72,9096812.0,0.0,1.0,91.93,92.18,91.5,91.72,9096812.0
2016-09-26,92.47,92.68,91.4,91.96,10398692.0,0.0,1.0,92.47,92.68,91.4,91.96,10398692.0
2016-09-23,93.07,93.52,93.0,93.27,4375640.0,0.0,1.0,93.07,93.52,93.0,93.27,4375640.0
2016-09-22,92.73,93.71,92.64,93.41,6705266.0,0.0,1.0,92.73,93.71,92.64,93.41,6705266.0
2016-09-21,93.0,93.08,91.7,92.39,12014308.0,0.0,1.0,93.0,93.08,91.7,92.39,12014308.0
2016-09-20,92.7,93.3,92.68,92.95,6174650.0,0.0,1.0,92.7,93.3,92.68,92.95,6174650.0
2016-09-19,92.8,93.3165,92.34,92.63,5395317.0,0.0,1.0,92.8,93.3165,92.34,92.63,5395317.0
2016-09-16,92.27,92.74,91.8,92.56,10470633.0,0.0,1.0,92.27,92.74,91.8,92.56,10470633.0
2016-09-15,92.12,92.75,91.19,92.5,7559422.0,0.0,1.0,92.12,92.75,91.19,92.5,7559422.0
2016-09-14,92.59,92.8868,92.07,92.26,6222204.0,0.0,1.0,92.59,92.8868,92.07,92.26,6222204.0
2016-09-13,93.04,93.295,92.45,92.7,7780826.0,0.0,1.0,93.04,93.295,92.45,92.7,7780826.0
2016-09-12,91.96,93.86,91.95,93.64,9315042.0,0.0,1.0,91.96,93.86,91.95,93.64,9315042.0
2016-09-09,93.51,93.74,92.39,92.42,10143197.0,0.0,1.0,93.51,93.74,92.39,92.42,10143197.0
2016-09-08,93.49,94.21,92.925,94.09,7411895.0,0.0,1.0,93.49,94.21,92.925,94.09,7411895.0
2016-09-07,93.98,94.03,93.33,93.71,6260137.0,0.0,1.0,93.98,94.03,93.33,93.71,6260137.0
2016-09-06,94.53,94.53,93.35,93.8,8393910.0,0.0,1.0,94.53,94.53,93.35,93.8,8393910.0
2016-09-02,94.75,94.96,94.13,94.42,5374685.0,0.0,1.0,94.75,94.96,94.13,94.42,5374685.0
2016-09-01,94.73,94.87,93.91,94.26,6263186.0,0.0,1.0,94.73,94.87,93.91,94.26,6263186.0
2016-08-31,94.69,94.9,94.16,94.46,7295162.0,0.0,1.0,94.69,94.9,94.16,94.46,7295162.0
2016-08-30,94.77,95.29,94.77,94.87,6413285.0,0.0,1.0,94.77,95.29,94.77,94.87,6413285.0
