Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-10-21,95.02,95.39,94.03,95.36,1112659.0,0.0,1.0,95.02,95.39,94.03,95.36,1112659.0
2016-10-20,95.69,95.8,95.01,95.12,749775.0,0.0,1.0,95.69,95.8,95.01,95.12,749775.0
2016-10-19,96.2,96.32,95.08,95.63,692047.0,0.0,1.0,96.2,96.32,95.08,95.63,692047.0
2016-10-18,97.24,97.4,96.24,96.31,774692.0,0.0,1.0,97.24,97.4,96.24,96.31,774692.0
2016-10-17,96.4,96.76,95.98,96.74,743757.0,0.0,1.0,96.4,96.76,95.98,96.74,743757.0
2016-10-14,95.95,97.18,95.94,96.43,1561890.0,0.0,1.0,95.95,97.18,95.94,96.43,1561890.0
2016-10-13,94.64,95.91,94.2,95.65,1016893.0,0.0,1.0,94.64,95.91,94.2,95.65,1016893.0
2016-10-12,94.69,95.23,94.6,94.95,688200.0,0.0,1.0,94.69,95.23,94.6,94.95,688200.0
2016-10-11,95.74,95.8995,94.34,94.63,715611.0,0.0,1.0,95.74,95.8995,94.34,94.63,715611.0
2016-10-10,95.21,96.54,95.21,95.59,754082.0,0.0,1.0,95.21,96.54,95.21,95.59,754082.0
2016-10-07,95.36,95.52,94.28,95.21,998702.0,0.0,1.0,95.36,95.52,94.28,95.21,998702.0
2016-10-06,94.46,95.57,94.46,95.11,1569212.0,0.0,1.0,94.46,95.57,94.46,95.11,1569212.0
2016-10-05,95.01,95.27,94.52,94.71,2302011.0,0.0,1.0,95.01,95.27,94.52,94.71,2302011.0
2016-10-04,95.22,95.82,94.85,95.03,1186156.0,0.0,1.0,95.22,95.82,94.85,95.03,1186156.0
2016-10-03,95.3,95.61,94.88,95.41,909986.0,0.0,1.0,95.3,95.61,94.88,95.41,909986.0
2016-09-30,94.96,96.23,94.69,95.6,939002.0,0.0,1.0,94.96,96.23,94.69,95.6,939002.0
2016-09-29,95.36,96.0,94.61,94.64,975576.0,0.0,1.0,95.36,96.0,94.61,94.64,975576.0
2016-09-28,94.98,95.41,94.58,95.13,721322.0,0.0,1.0,94.98,95.41,94.58,95.13,721322.0
2016-09-27,95.75,95.86,94.45,94.7,1433055.0,0.0,1.0,95.75,95.86,94.45,94.7,1433055.0
2016-09-26,95.46,96.17,95.22,95.33,858270.0,0.0,1.0,95.46,96.17,95.22,95.33,858270.0
2016-09-23,95.79,97.72,94.77,95.85,3843265.0,0.0,1.0,95.79,97.72,94.77,95.85,3843265.0
2016-09-22,96.36,96.99,95.63,96.16,944195.0,0.0,1.0,96.36,96.99,95.63,96.16,944195.0
2016-09-21,95.4,96.629,95.13,96.36,1057643.0,0.0,1.0,95.4,96.629,95.13,96.36,1057643.0
2016-09-20,95.51,96.0,95.41,95.52,1224464.0,0.0,1.0,95.51,96.0,95.41,95.52,1224464.0
2016-09-19,95.89,96.21,95.26,95.45,1278770.0,0.0,1.0,95.89,96.21,95.26,95.45,1278770.0
2016-09-16,96.08,96.63,95.32,95.48,1344084.0,0.0,1.0,96.08,96.63,95.32,95.48,1344084.0
2016-09-15,95.6,96.34,95.22,96.01,1137699.0,0.0,1.0,95.6,96.34,95.22,96.01,1137699.0
2016-09-14,96.44,96.55,95.66,95.98,1239488.0,0.0,1.0,96.44,96.55,95.66,95.98,1239488.0
2016-09-13,97.25,97.27,95.98,96.01,1436889.0,0.0,1.0,97.25,97.27,95.98,96.01,1436889.0
2016-09-12,96.58,97.77,95.8,97.48,1550595.0,0.0,1.0,96.58,97.77,95.8,97.48,1550595.0
2016-09-09,97.79,97.9,96.16,96.18,1393154.0,0.0,1.0,97.79,97.9,96.16,96.18,1393154.0
2016-09-08,99.05,99.19,98.0,98.09,1141314.0,0.0,1.0,99.05,99.19,98.0,98.09,1141314.0
