Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-10-21,190.4,190.48,190.12,190.12,687688.0,0.0,1.0,190.4,190.48,190.12,190.12,687688.0
2016-10-20,190.4,190.51,190.26,190.4,476445.0,0.0,1.0,190.4,190.51,190.26,190.4,476445.0
2016-10-19,190.47,190.64,190.3,190.4,716068.0,0.0,1.0,190.47,190.64,190.3,190.4,716068.0
2016-10-18,190.58,190.79,190.38,190.38,1021216.0,0.0,1.0,190.58,190.79,190.38,190.38,1021216.0
2016-10-17,190.91,190.99,190.45,190.45,620842.0,0.0,1.0,190.91,190.99,190.45,190.45,620842.0
2016-10-14,190.5,191.29,190.25,190.74,1674853.0,0.0,1.0,190.5,191.29,190.25,190.74,1674853.0
2016-10-13,190.55,191.07,190.33,190.56,665655.0,0.0,1.0,190.55,191.07,190.33,190.56,665655.0
2016-10-12,190.39,190.85,190.26,190.47,837321.0,0.0,1.0,190.39,190.85,190.26,190.47,837321.0
2016-10-11,190.75,190.97,190.25,190.34,1373316.0,0.0,1.0,190.75,190.97,190.25,190.34,1373316.0
2016-10-10,191.2,191.79,190.71,190.71,1714220.0,0.0,1.0,191.2,191.79,190.71,190.71,1714220.0
2016-10-07,191.7,191.77,190.83,191.18,1130416.0,0.0,1.0,191.7,191.77,190.83,191.18,1130416.0
2016-10-06,192.05,192.18,191.49,191.75,897165.0,0.0,1.0,192.05,192.18,191.49,191.75,897165.0
2016-10-05,192.2,192.45,192.02,192.21,775952.0,0.0,1.0,192.2,192.45,192.02,192.21,775952.0
2016-10-04,191.89,192.41,191.66,192.23,1242325.0,0.0,1.0,191.89,192.41,191.66,192.23,1242325.0
2016-10-03,191.15,192.13,191.15,191.95,1245581.0,0.0,1.0,191.15,192.13,191.15,191.95,1245581.0
2016-09-30,190.79,191.53,190.79,191.12,2131398.0,0.0,1.0,190.79,191.53,190.79,191.12,2131398.0
2016-09-29,192.26,192.58,190.74,190.87,3022848.0,0.0,1.0,192.26,192.58,190.74,190.87,3022848.0
2016-09-28,192.2,192.63,192.2,192.29,962785.0,0.0,1.0,192.2,192.63,192.2,192.29,962785.0
2016-09-27,193.0,193.22,191.67,192.2,3988076.0,0.0,1.0,193.0,193.22,191.67,192.2,3988076.0
2016-09-26,192.65,194.27,192.55,193.04,2207980.0,0.0,1.0,192.65,194.27,192.55,193.04,2207980.0
2016-09-23,192.42,192.79,192.42,192.79,974534.0,0.0,1.0,192.42,192.79,192.42,192.79,974534.0
2016-09-22,192.45,192.61,192.35,192.48,1088233.0,0.0,1.0,192.45,192.61,192.35,192.48,1088233.0
2016-09-21,192.3,192.57,192.25,192.4,1293333.0,0.0,1.0,192.3,192.57,192.25,192.4,1293333.0
2016-09-20,192.25,192.5,192.02,192.5,2531868.0,0.0,1.0,192.25,192.5,192.02,192.5,2531868.0
2016-09-19,192.38,192.55,192.2,192.2,1076791.0,0.0,1.0,192.38,192.55,192.2,192.2,1076791.0
2016-09-16,192.44,192.55,192.29,192.4,1186224.0,0.0,1.0,192.44,192.55,192.29,192.4,1186224.0
2016-09-15,192.7,192.74,192.39,192.59,1097144.0,0.0,1.0,192.7,192.74,192.39,192.59,1097144.0
2016-09-14,192.67,192.89,192.58,192.89,1231319.0,0.0,1.0,192.67,192.89,192.58,192.89,1231319.0
2016-09-13,192.75,192.79,192.61,192.66,657393.0,0.0,1.0,192.75,192.79,192.61,192.66,657393.0
2016-09-12,192.67,192.85,192.49,192.8,702093.0,0.0,1.0,192.67,192.85,192.49,192.8,702093.0
2016-09-09,192.85,192.88,192.62,192.74,1414774.0,0.0,1.0,192.85,192.88,192.62,192.74,1414774.0
2016-09-08,192.79,192.88,192.76,192.85,417176.0,0.0,1.0,192.79,192.88,192.76,192.85,417176.0
2016-09-07,192.72,192.87,192.7,192.81,729101.0,0.0,1.0,192.72,192.87,192.7,192.81,729101.0
2016-09-06,192.73,192.9,192.6,192.79,995608.0,0.0,1.0,192.73,192.9,192.6,192.79,995608.0
2016-09-02,192.74,192.83,192.61,192.8,429908.0,0.0,1.0,192.74,192.83,192.61,192.8,429908.0
2016-09-01,192.55,192.83,192.41,192.73,881025.0,0.0,1.0,192.55,192.83,192.41,192.73,881025.0
2016-08-31,192.28,192.75,192.26,192.75,1098754.0,0.0,1.0,192.28,192.75,192.26,192.75,1098754.0
2016-08-30,192.29,192.38,192.18,192.3,519120.0,0.0,1.0,192.29,192.38,192.18,192.3,519120.0
2016-08-29,192.42,192.6,192.28,192.28,502590.0,0.0,1.0,192.42,192.6,192.28,192.28,502590.0
2016-08-26,191.97,192.51,191.93,192.5,1128277.0,0.0,1.0,191.97,192.51,191.93,192.5,1128277.0
2016-08-25,191.9,192.28,191.9,191.9,1257054.0,0.0,1.0,191.9,192.28,191.9,191.9,1257054.0
2016-08-24,191.82,192.18,191.82,191.9,1158322.0,0.0,1.0,191.82,192.18,191.82,191.9,1158322.0
2016-08-23,191.8,191.91,191.69,191.82,1324764.0,0.0,1.0,191.8,191.91,191.69,191.82,1324764.0
2016-08-22,191.4,191.85,191.4,191.77,710498.0,0.0,1.0,191.4,191.85,191.4,191.77,710498.0
2016-08-19,191.31,191.61,191.25,191.5,888992.0,0.0,1.0,191.31,191.61,191.25,191.5,888992.0
2016-08-18,191.26,191.54,191.22,191.36,633422.0,0.0,1.0,191.26,191.54,191.22,191.36,633422.0
2016-08-17,191.0,191.49,190.95,191.4,932815.0,0.0,1.0,191.0,191.49,190.95,191.4,932815.0
2016-08-16,190.56,191.35,190.45,191.0,1569781.0,0.0,1.0,190.56,191.35,190.45,191.0,1569781.0
2016-08-15,191.52,191.67,190.96,191.06,1152950.0,0.0,1.0,191.52,191.67,190.96,191.06,1152950.0
2016-08-12,191.86,191.86,191.35,191.61,1639571.0,0.0,1.0,191.86,191.86,191.35,191.61,1639571.0
2016-08-11,191.92,192.0,191.76,191.8,900484.0,0.0,1.0,191.92,192.0,191.76,191.8,900484.0
2016-08-10,191.88,192.2,191.75,192.0,909002.0,0.0,1.0,191.88,192.2,191.75,192.0,909002.0
2016-08-09,191.79,192.0,191.75,191.9,1011440.0,0.0,1.0,191.79,192.0,191.75,191.9,1011440.0
2016-08-08,192.24,192.33,191.68,191.76,1169810.0,0.0,1.0,192.24,192.33,191.68,191.76,1169810.0
2016-08-05,192.25,192.59,192.11,192.15,1461798.0,0.0,1.0,192.25,192.59,192.11,192.15,1461798.0
2016-08-04,192.48,192.69,192.01,192.01,1064681.0,0.0,1.0,192.48,192.69,192.01,192.01,1064681.0
2016-08-03,192.4,192.76,192.16,192.26,786619.0,0.0,1.0,192.4,192.76,192.16,192.26,786619.0
2016-08-02,193.01,193.01,192.32,192.52,998481.0,0.0,1.0,193.01,193.01,192.32,192.52,998481.0
2016-08-01,192.9,193.16,192.75,193.09,516851.0,0.0,1.0,192.9,193.16,192.75,193.09,516851.0
2016-07-29,192.97,193.15,192.7,192.73,686211.0,0.0,1.0,192.97,193.15,192.7,192.73,686211.0
2016-07-28,192.32,193.38,191.98,193.27,1447896.0,0.0,1.0,192.32,193.38,191.98,193.27,1447896.0
2016-07-27,192.13,192.67,192.13,192.3,666012.0,0.0,1.0,192.13,192.67,192.13,192.3,666012.0
2016-07-26,191.6,192.55,191.6,192.55,1138788.0,0.0,1.0,191.6,192.55,191.6,192.55,1138788.0
2016-07-25,191.0,192.0,190.86,191.94,3030786.0,0.0,1.0,191.0,192.0,190.86,191.94,3030786.0
2016-07-22,189.57,189.98,189.57,189.95,549540.0,0.0,1.0,189.57,189.98,189.57,189.95,549540.0
2016-07-21,189.4,189.79,189.39,189.57,713918.0,0.0,1.0,189.4,189.79,189.39,189.57,713918.0
2016-07-20,189.69,189.95,189.5,189.55,882657.0,0.0,1.0,189.69,189.95,189.5,189.55,882657.0
2016-07-19,189.4,189.89,189.32,189.86,709223.0,0.0,1.0,189.4,189.89,189.32,189.86,709223.0
2016-07-18,189.5,189.71,189.27,189.6,1124853.0,0.0,1.0,189.5,189.71,189.27,189.6,1124853.0
2016-07-15,189.32,189.59,189.13,189.57,939570.0,0.0,1.0,189.32,189.59,189.13,189.57,939570.0
2016-07-14,189.9,190.0,189.11,189.31,2220092.0,0.0,1.0,189.9,190.0,189.11,189.31,2220092.0
2016-07-13,190.31,190.31,189.7,189.86,2350017.0,0.0,1.0,190.31,190.31,189.7,189.86,2350017.0
2016-07-12,190.26,190.36,190.16,190.3,1534290.0,0.0,1.0,190.26,190.36,190.16,190.3,1534290.0
2016-07-11,190.4,190.57,190.25,190.27,1573326.0,0.0,1.0,190.4,190.57,190.25,190.27,1573326.0
2016-07-08,190.18,190.54,190.14,190.44,1253704.0,0.0,1.0,190.18,190.54,190.14,190.44,1253704.0
2016-07-07,190.41,190.55,190.13,190.2,1421277.0,0.0,1.0,190.41,190.55,190.13,190.2,1421277.0
2016-07-06,189.96,190.47,189.83,190.45,1584666.0,0.0,1.0,189.96,190.47,189.83,190.45,1584666.0
2016-07-05,190.1,190.3,189.77,190.01,1756333.0,0.0,1.0,190.1,190.3,189.77,190.01,1756333.0
2016-07-01,189.39,189.79,189.39,189.5,1756623.0,0.0,1.0,189.39,189.79,189.39,189.5,1756623.0
2016-06-30,189.65,189.89,189.22,189.25,2555939.0,0.0,1.0,189.65,189.89,189.22,189.25,2555939.0
2016-06-29,189.7,189.91,189.5,189.59,2467099.0,0.0,1.0,189.7,189.91,189.5,189.59,2467099.0
2016-06-28,189.61,190.02,189.2875,189.5,2720429.0,0.0,1.0,189.61,190.02,189.2875,189.5,2720429.0
2016-06-27,189.75,190.05,189.25,189.44,4382100.0,0.0,1.0,189.75,190.05,189.25,189.44,4382100.0
2016-06-24,189.83,190.43,189.52,190.11,5686396.0,0.0,1.0,189.83,190.43,189.52,190.11,5686396.0
2016-06-23,190.3,190.57,190.3,190.45,2758123.0,0.0,1.0,190.3,190.57,190.3,190.45,2758123.0
2016-06-22,190.76,190.89,190.25,190.32,5324464.0,0.0,1.0,190.76,190.89,190.25,190.32,5324464.0
2016-06-21,190.73,191.17,190.73,190.79,2501605.0,0.0,1.0,190.73,191.17,190.73,190.79,2501605.0
2016-06-20,191.0,191.15,190.75,190.81,2892047.0,0.0,1.0,191.0,191.15,190.75,190.81,2892047.0
2016-06-17,191.3,191.4,190.8,190.8,3999712.0,0.0,1.0,191.3,191.4,190.8,190.8,3999712.0
2016-06-16,191.06,191.66,191.0,191.33,3440569.0,0.0,1.0,191.06,191.66,191.0,191.33,3440569.0
2016-06-15,191.5,191.77,191.25,191.29,5810274.0,0.0,1.0,191.5,191.77,191.25,191.29,5810274.0
2016-06-14,192.28,192.44,191.5,191.63,10868495.0,0.0,1.0,192.28,192.44,191.5,191.63,10868495.0
2016-06-13,194.29,194.38,192.16,192.21,26201194.0,0.0,1.0,194.29,194.38,192.16,192.21,26201194.0
2016-06-10,135.0,135.36,130.9,131.08,1925195.0,0.0,1.0,135.0,135.36,130.9,131.08,1925195.0
2016-06-09,136.26,138.89,135.51,136.52,2778204.0,0.0,1.0,136.26,138.89,135.51,136.52,2778204.0
2016-06-08,134.08,134.57,132.76,133.85,806585.0,0.0,1.0,134.08,134.57,132.76,133.85,806585.0
2016-06-07,136.0,136.12,133.52,133.7,984218.0,0.0,1.0,136.0,136.12,133.52,133.7,984218.0
2016-06-06,134.59,135.78,133.5,135.7,1579614.0,0.0,1.0,134.59,135.78,133.5,135.7,1579614.0
2016-06-03,135.19,135.72,131.74,135.07,1507591.0,0.0,1.0,135.19,135.72,131.74,135.07,1507591.0
2016-06-02,136.73,137.9861,134.48,136.5,1224561.0,0.0,1.0,136.73,137.9861,134.48,136.5,1224561.0
2016-06-01,135.53,137.11,132.755,137.03,1965122.0,0.0,1.0,135.53,137.11,132.755,137.03,1965122.0
2016-05-31,131.5,137.59,131.5,136.5,3007888.0,0.0,1.0,131.5,137.59,131.5,136.5,3007888.0
2016-05-27,129.14,131.4596,128.92,131.36,1244600.0,0.0,1.0,129.14,131.4596,128.92,131.36,1244600.0
2016-05-26,130.15,131.43,128.39,129.25,1301131.0,0.0,1.0,130.15,131.43,128.39,129.25,1301131.0
2016-05-25,129.0,130.0,128.41,129.87,1625361.0,0.0,1.0,129.0,130.0,128.41,129.87,1625361.0
2016-05-24,125.59,129.3,125.47,128.58,1700904.0,0.0,1.0,125.59,129.3,125.47,128.58,1700904.0
2016-05-23,125.65,127.5,125.05,125.15,1090120.0,0.0,1.0,125.65,127.5,125.05,125.15,1090120.0
2016-05-20,125.75,126.97,123.57,125.56,1758992.0,0.0,1.0,125.75,126.97,123.57,125.56,1758992.0
2016-05-19,127.7,128.29,124.42,125.24,2230997.0,0.0,1.0,127.7,128.29,124.42,125.24,2230997.0
2016-05-18,128.0,130.45,126.87,128.39,1557022.0,0.0,1.0,128.0,130.45,126.87,128.39,1557022.0
